Date and Time,Indicator,Threshold: Single-Sample,Date and Time,Results
7/21/2026 9:30:00 AM,Enterococci,61,7/21/2026 9:30:00 AM,1.00
7/14/2026 8:22:00 AM,Enterococci,61,7/14/2026 8:22:00 AM,6.30
7/7/2026 8:10:00 AM,Enterococci,61,7/7/2026 8:10:00 AM,7.40
6/30/2026 7:45:00 AM,Enterococci,61,6/30/2026 7:45:00 AM,98.70
6/26/2026 10:03:00 AM,Enterococci,61,6/26/2026 10:03:00 AM,118.70
6/24/2026 3:00:00 PM,Enterococci,61,6/24/2026 3:00:00 PM,30.10
6/23/2026 9:40:00 AM,Enterococci,61,6/23/2026 9:40:00 AM,8.50
6/16/2026 9:55:00 AM,Enterococci,61,6/16/2026 9:55:00 AM,2,419.60
6/10/2026 2:15:00 PM,Enterococci,61,6/10/2026 2:15:00 PM,10.00
6/9/2026 9:47:00 AM,Enterococci,61,6/9/2026 9:47:00 AM,517.20
6/2/2026 10:55:00 AM,Enterococci,61,6/2/2026 10:55:00 AM,2.00
5/26/2026 9:20:00 AM,Enterococci,61,5/26/2026 9:20:00 AM,16.60
5/19/2026 6:40:00 AM,Enterococci,61,5/19/2026 6:40:00 AM,15.50
